Size Idx Append Polo PoloAppend
1670000 4671365 8963985 94683500 112621893
1680000 4622075 8697118 97695630 117850871
1690000 4632058 8951176 98128710 108094814
1700000 4701451 9003288 97752175 113367357
1710000 4777035 8882529 100459025 115806375
1720000 4796615 8989980 116779248 116764979
1730000 4784726 9075904 108124941 119217080
1740000 4910235 9255023 109362772 123450301
1750000 4842622 9134775 117846318 120117959
1760000 4920196 9325576 123381538 118227662
1770000 4890532 9293271 127577810 120171030
1780000 4957062 9323464 99760249 124229925
1790000 4986734 9486252 99419065 127112712
1800000 4950771 9320389 112848667 121261914
1810000 5069453 9505023 100526163 128297122
1820000 5159022 9733698 116668991 133658195
1830000 5000288 9637147 101255541 132055909
1840000 5048490 9561020 112895458 117762668
1850000 5107301 9597010 102094217 128794419
1860000 5182287 9616526 113006814 118071277
1870000 5149486 9713863 108853445 140569217
1880000 5164145 9961166 108782239 132148055
1890000 5238007 10003933 126020522 130341165
1900000 5371710 10185373 129932837 126274974
1910000 5287656 10055618 118220672 132398002
1920000 5221271 9879268 119506607 126857587
1930000 5309925 10117096 138659507 128183259
1940000 5394126 10303234 106003023 138141548
1950000 5323881 10070523 107272864 144091252
1960000 5326500 10186013 116030099 128431896
1970000 5337868 10429939 124680254 129078969
1980000 5482400 10292710 103741969 135385573
1990000 5469157 10329035 113333195 121903862
2000000 5508331 10458754 146508058 138634315
2010000 5557090 10451970 118849318 141874466
2020000 5507264 10539922 118466093 134781406
2030000 5567397 10732389 115414515 132876110
2040000 5651315 10640639 125170332 138519209
2050000 5614638 10845777 120574141 146914444
2060000 5692581 10696119 149949403 136504599
2070000 5651346 10812694 122527698 134725297
2080000 5675600 10789455 151091542 140373592
2090000 5760107 10783359 150249559 131676416
2100000 5732362 10889477 131565504 143828270
2110000 5741467 10865589 128876530 156500751
2120000 5861294 11109155 152232208 156000084
2130000 5876323 10968630 152579037 124122665
2140000 5945043 11166208 151677939 140741023
2150000 5924099 11226632 153196428 140734011
2160000 5956176 11234141 129995588 141569362
2170000 6060847 11472882 156295139 138018471
2180000 5971402 11428557 130630486 141977393
