Size Idx Append Polo PoloAppend
187000 892656 1263146 11843271 12129855
188000 896965 1284798 12202016 12226252
189000 896519 1278326 11932514 12268565
190000 945824 1363765 12029485 12232043
191000 960471 1356421 12090919 12225474
192000 1017752 1361788 12302064 12502455
193000 959267 1378997 12343067 12554507
194000 1071777 1397573 12429988 12470738
195000 977766 1392828 12605340 12689925
196000 1026077 1380602 12562802 12607638
197000 1006923 1398634 12852224 12821220
198000 1043542 1409103 12582344 12712431
199000 1018387 1429302 12788220 12589041
200000 1044644 1445833 12890502 13228136
201000 1025066 1430591 12952038 13043111
202000 1049793 1456978 13155343 12925493
203000 1051184 1487533 12972810 12863595
204000 1042097 1458360 13092076 13420037
205000 1086304 1484832 13046138 13135047
206000 1098511 1469794 13241872 13094284
207000 1073347 1471286 13093032 13140605
208000 1131736 1522024 13382494 13237502
209000 1130993 1488170 13569111 13231714
210000 1101657 1517825 13346603 13182598
211000 1165148 1495512 13499286 13259842
212000 1163175 1537352 13528704 13592056
213000 1100371 1537201 15353828 15570784
214000 1108663 1554095 15818738 15666465
215000 1163082 1541141 15414173 15486931
216000 1101587 1543093 15393818 15558166
217000 1147079 1531057 15383435 15646579
218000 1194965 1555845 15116446 15856854
219000 1127128 1586616 15425099 15744071
220000 1173853 1574361 15521359 15665981
221000 1128586 1582017 15394939 15930824
222000 1199185 1638627 15938846 15812508
223000 1227389 1673432 15565502 15861039
224000 1219713 1614034 15919116 15869038
225000 1156705 1602971 15698344 15613746
226000 1277570 1603591 15769344 16910857
227000 1166793 1637258 15899639 16443944
228000 1187577 1627451 16184853 15967357
229000 1293046 1643580 15836311 15946718
230000 1247686 1647771 15912329 16205493
231000 1250225 1701412 16074070 16320659
232000 1266874 1754479 16311512 16222929
233000 1277396 1667700 16341860 16425482
234000 1262955 1691364 16416183 16254293
235000 1228486 1697953 16502829 16339852
236000 1233119 1677309 16253655 16531952
237000 1227944 1699834 16627315 16625358
238000 1245442 1718276 16462029 16995180
239000 1240840 1703349 16607239 17162675
240000 1321520 1720408 16671585 16830602
241000 1377058 1757966 16577832 17062654
242000 1268706 1728274 16578859 16583249
243000 1331640 1804277 16555761 17011294
244000 1393472 1763931 16703146 16978659
245000 1329108 1790600 16740387 16924880
246000 1314198 1781915 16637291 17229681
247000 1345333 1835303 16808472 17071666
248000 1355617 1779466 16903734 17243752
249000 1359952 1803531 16854986 17412861
250000 1366635 1789682 17314088 17415626
251000 1331434 1790421 17211342 17025928
252000 1336628 1812019 16819037 17687451
253000 1354676 1806339 17128975 17505774
254000 1350541 1828437 17282254 17491442
255000 1412545 1848051 17094648 17418319
256000 1400909 1883762 17046512 17614738
257000 1420875 1828058 17341233 17735701
258000 1415200 1833633 17212453 17430076
259000 1412084 1920415 17466788 17664952
260000 1443499 1910010 17810574 17692013
261000 1409439 1874607 17854476 18002502
262000 1388030 1865177 17649167 18322375
263000 1435585 1915199 17766182 17941227
264000 1449768 1878823 17918033 18132182
265000 1450415 1938124 18101173 17907563
266000 1463664 1934182 17902300 18550089
267000 1464547 1969227 17762688 18559647
268000 1460456 1963285 17894515 18278398
269000 1494101 1934899 17880471 18818559
270000 1481505 1988558 18095089 18533438
271000 1529988 1947078 17939156 18382125
272000 1462288 1964500 18488245 18330964
273000 1521181 2006035 18836821 18710668
274000 1518985 1959739 18604560 18853415
275000 1535338 1968763 19417140 18757721
276000 1528252 1983018 18767619 18820632
277000 1507475 1967825 18803172 18570389
278000 1546887 2026806 18474796 18998798
279000 1528932 2038844 18691668 18949984
280000 1559275 1991873 18851119 18920471
281000 1531920 2014533 18579981 18647343
282000 1549912 2057753 18652099 18606267
283000 1549368 2023486 19748511 19255935
284000 1564815 2025740 18697663 19220036
285000 1588705 2074213 19263802 19317142
286000 1623757 2053697 19126700 19485799
287000 1599167 2062400 19103170 19093452
288000 1607574 2045643 19319423 19398931
289000 1584954 2090947 19038255 19453702
290000 1628661 2066750 19321081 19500466
291000 1583683 2083742 19374061 19543807
292000 1585050 2096669 19691906 19525276
293000 1588564 2068432 19631345 19682210
294000 1621094 2091053 19664714 19502958
295000 1601301 2075436 19740571 19961352
296000 1612057 2090256 19588482 19986151
297000 1637398 2131307 19813737 20104209
298000 1623488 2143025 19716287 20245487
299000 1639979 2142724 19941499 20308199
300000 1628283 2124542 20288663 20193242
301000 1641683 2144790 20263722 20399915
302000 1633481 2144911 20228763 20637672
303000 1669580 2153687 20495089 20409192
304000 1660949 2165072 20358794 20295764
305000 1671241 2179656 20473729 20639141
306000 1689473 2164704 20338103 20686910
307000 1683680 2190135 20495115 20696082
308000 1668659 2223058 20361197 20682539
309000 1683369 2199879 20595803 20759223
310000 1753708 2237996 20570550 20835221
311000 1722153 2230766 20878781 20844509
312000 1728785 2248123 20768724 21358545
313000 1748918 2239776 20789729 21004270
314000 1744322 2244462 20633476 21145906
315000 1737341 2255058 20861896 21010739
316000 1757186 2219749 21215769 21404512
317000 1740551 2255412 21157608 21272306
318000 1761459 2278612 20922059 21163174
319000 1762358 2269583 21119212 21458465
320000 1787439 2241023 21116300 21576053
321000 1774840 2311639 21403118 21677624
322000 1818388 2267271 21264442 21701272
323000 1770699 2262211 21273067 21696814
324000 1836410 2299086 21474518 21906991
325000 1787715 2304750 21577795 21739353
326000 1794430 2297836 21991681 21550909
327000 1821547 2322162 21635055 21777798
328000 1832071 2294619 21716070 22205360
329000 1835102 2349153 22099463 21729376
330000 1829608 2352093 21807369 22176649
331000 1832821 2360578 21805613 22102341
332000 1846215 2375639 21834981 22042894
333000 1866647 2365426 21983212 22333840
334000 1879835 2354720 21739504 22103915
335000 1874479 2390034 22029941 22168391
336000 1887991 2340283 22049950 22380778
337000 1887858 2377409 22341338 22403292
338000 1890615 2379429 22489554 22312713
339000 1910573 2409750 22488548 22550477
340000 1879849 2407835 22412354 22685962
341000 1900761 2396398 22246558 22676622
342000 1915511 2404793 22436543 23435629
343000 1899564 2408203 22513462 22885502
344000 1928137 2444072 22453761 22790505
345000 1927846 2423404 22704283 22922771
346000 1938734 2458642 22472421 22850622
347000 1936623 2445874 23027393 23019050
348000 1957177 2417699 22785140 23045186
349000 1937681 2465325 22860871 22847706
350000 1967567 2476198 22833586 23068012
351000 1970841 2476104 22861767 22991379
352000 1977130 2491239 23117666 23392295
353000 1955419 2476925 23029863 23019289
354000 1977739 2477014 23228484 23457413
355000 2013153 2503801 23571062 23530833
356000 1969579 2490839 23129639 23471873
357000 2001203 2504876 23541422 23584329
358000 2006338 2538259 23391145 24050275
359000 2025173 2507591 23171572 23973479
360000 2043161 2506456 23250453 24157213
361000 2024585 2557602 23340961 24291889
362000 2052814 2558841 23545205 24310153
363000 2064984 2529054 23631808 24074582
364000 2096284 2569021 23931779 24291601
365000 2076157 2559964 23697844 23957602
366000 2070976 2543874 24167248 24047493
367000 2089941 2538915 23872656 24207364
368000 2087012 2540700 23945566 24584452
369000 2092356 2598091 24100112 24670014
370000 2109437 2558133 24304516 24668666
371000 2162616 2607259 23948973 24707164
372000 2109860 2638688 24264492 24538818
373000 2142902 2579024 24265605 24754690
374000 2160883 2615665 24246564 25000422
375000 2162399 2637403 24701572 25173993
376000 2160852 2628503 24362398 24881681
377000 2186090 2695145 24620157 24815921
378000 2157921 2620717 24311338 24976000
379000 2195899 2657206 24637209 25437050
380000 2217860 2715204 24602740 25229809
381000 2204856 2663621 24866998 25212879
382000 2200159 2663479 25122872 25360924
383000 2209001 2687442 25323237 25180018
384000 2234003 2708964 25204648 25744636
385000 2256973 2692087 25252964 25520186
386000 2214727 2671343 25486974 25614615
387000 2260524 2684058 25204221 25531622
388000 2242252 2681793 25447061 25808300
389000 2237216 2697742 25637027 25756048
390000 2266217 2705279 25656653 25977507
391000 2240608 2723723 25587068 26042212
392000 2264190 2735122 25592445 26044505
393000 2334223 2747857 25783769 25946397
394000 2259836 2711819 25690325 26180161
395000 2278792 2739931 26101053 25974496
396000 2311670 2772337 25680820 26148667
397000 2303375 2801361 26064130 25895610
398000 2324390 2769118 26210342 25980502
399000 2330702 2824869 26388533 26026291
400000 2329275 2746251 26134801 26210877
401000 2309711 2765158 26231188 26060210
402000 2340349 2752174 26527407 27407116
403000 2313383 2752442 26303687 27264609
404000 2365616 2781302 26514304 26639898
405000 2340880 2822492 26824192 27303954
406000 2350938 2805913 27037645 26789083
407000 2370310 2815154 26816829 26862931
408000 2423306 2867728 26646866 27065124
409000 2398963 2888197 26895599 27161400
410000 2388751 2846061 26910198 26812902
411000 2396154 2833655 26861574 27206931
412000 2449437 2868131 27077968 27279538
413000 2393863 2836385 27291776 27438675
414000 2459688 2878243 27495279 27910394
415000 2464341 2883255 27450604 27609414
416000 2464318 2879480 27481710 27571202
417000 2497433 2865216 27319000 27667249
418000 2473704 2901296 27233186 27603947
419000 2471294 2921420 27444047 27613333
420000 2494665 2939686 27718403 27822409
421000 2493995 2936627 27529695 27882089
422000 2505089 2909057 27844126 27569544
423000 2548306 2985054 28360690 27325820
424000 2479768 2929757 28022243 27439535
425000 2573885 2986610 27815858 28463667
426000 2509713 2964959 30944912 32133557
427000 2561916 2968819 31188171 31865828
428000 2533924 2955903 30921468 32142510
429000 2577608 3012452 31845007 32260801
430000 2563154 2969135 30892437 32061696
431000 2570522 3002816 31549596 31181269
432000 2590247 3019074 31511725 31481296
433000 2619653 3003213 31371732 31920225
434000 2566787 3003030 30978164 31516710
435000 2621011 3033628 31413590 31515231
436000 2613402 3035712 31292476 31288795
437000 2632786 3033844 31293340 31611862
438000 2635529 3080700 32145549 31631036
439000 2635986 3051987 31288367 31838097
440000 2652114 3061811 31840467 31559560
441000 2668723 3053532 31278739 31858372
442000 2682709 3085821 31904625 32021921
443000 2759027 3082045 31813022 32068387
444000 2665995 3071685 31641896 31700218
445000 2690234 3110261 31419261 31519046
446000 2683780 3085725 31878302 31807180
447000 2682630 3091495 32081891 33420044
448000 2724281 3100188 32341112 32101350
449000 2733390 3115749 31958650 32630591
450000 2732818 3139392 33842099 33979603
451000 2736613 3115018 31919033 32927063
452000 2749676 3138391 32293091 33014048
453000 2770369 3170867 32502558 32453145
454000 2821271 3168743 32233179 33661037
455000 2786237 3160514 32622299 33512255
456000 2813278 3187046 31925604 33020994
457000 2815266 3150995 32489706 33789688
458000 2818459 3226155 32283915 33925044
459000 2800668 3174313 32739990 33551446
460000 2814876 3194933 32240165 33841545
461000 2825269 3203996 32832398 33582499
462000 2815750 3252807 32566135 33547568
463000 2842432 3217805 32672800 32875775
464000 2849773 3216702 32647650 33597967
465000 2905990 3239844 32429674 33565191
466000 2866325 3241523 33235598 33818132
467000 2886041 3234437 33506143 33788737
468000 2885209 3268670 33987959 34185170
469000 2861184 3287147 32705178 34758585
470000 2880650 3272152 33177493 34318044
471000 2903531 3304648 33903481 34478993
472000 2940225 3320677 33377920 34819076
473000 2926614 3310009 32622461 34584968
474000 2916431 3272123 33146455 33561203
475000 2945633 3279719 33004616 33029938
476000 2916405 3332411 33127112 34712538
477000 2955844 3292856 33615900 34638833
478000 2961392 3296828 34100224 34329419
479000 2956799 3336258 33566532 34320146
480000 2997948 3331711 33350231 35389457
481000 3009436 3385043 33204017 34683705
482000 3040909 3374774 33876147 34670795
483000 3008662 3351607 33820055 34191647
484000 3031451 3390103 33308057 34524368
485000 3013722 3351152 33690210 34488804
486000 3035551 3387636 33579212 34270209
487000 3003459 3352965 33966436 34523974
488000 3043756 3390661 33590932 34956429
489000 3070237 3395760 33693970 34562197
490000 3061613 3445162 33917246 35361131
491000 3089707 3411373 34326706 35185573
492000 3053999 3434050 34960885 35280097
493000 3129715 3440503 33985473 35942118
494000 3074898 3438534 35302402 34409470
495000 3100272 3414503 35847170 33978839
496000 3101095 3426880 34853861 35192073
497000 3110720 3453951 35432326 35273860
498000 3156501 3471076 35774861 35520597
499000 3163057 3465166 35621383 36143378
500000 3193426 3489897 35828617 35676853
501000 3153530 3468441 36148333 35630842
502000 3164661 3507259 35427927 35707597
503000 3183758 3444955 35238419 35592747
504000 3182041 3557259 35884483 35503975
505000 3203353 3549685 35454341 35342623
506000 3239840 3501461 36583327 36075017
507000 3269301 3578684 35254717 35750093
508000 3302897 3560607 36159031 35758927
509000 3254174 3546732 36821970 36283420
510000 3260382 3583277 36255453 35801616
511000 3250429 3560147 36200517 36159652
512000 3273158 3598060 38875968 36609620
513000 3278942 3545381 35831387 36460313
514000 3285559 3588321 35535906 36418150
515000 3294446 3580202 35099450 35792681
516000 3358711 3599230 35577818 36777291
517000 3293760 3606111 35712548 36313304
518000 3333469 3601673 36763785 36433970
519000 3367353 3681384 36862809 36208062
520000 3336053 3626961 36013385 36317352
521000 3359312 3659554 35046432 37884891
522000 3362959 3683797 37246761 36635578
523000 3366183 3664713 35973917 36270889
524000 3425354 3647259 35921453 36666086
525000 3384387 3694701 35862991 36809136
526000 3392014 3708591 36402695 37148191
527000 3425011 3707220 36377341 37367332
528000 3418007 3683209 37689030 36825273
529000 3462500 3706140 37200548 37968261
530000 3463945 3701615 36169371 37953752
531000 3422565 3724679 36326069 37318020
532000 3434064 3720835 36235351 38443125
533000 3481827 3715739 38823807 38309295
534000 3516169 3725571 38782292 37983132
535000 3494852 3747822 39440216 37873854
536000 3464898 3789462 38561786 38085854
537000 3490034 3764277 38820922 38480901
538000 3526798 3816005 38028553 38352815
539000 3506244 3777835 38995203 39843135
540000 3550843 3800691 39791673 38974212
541000 3529163 3812374 39104339 39072809
542000 3576560 3824817 38902142 38910983
543000 3601346 3810707 37669862 38793761
544000 3597031 3843926 37952622 38630952
545000 3551890 3845254 37472442 39036262
546000 3576539 3824408 37539200 39375874
547000 3579684 3871300 37407473 39388637
548000 3599084 3821688 37456455 38589191
549000 3555312 3851063 37339899 38915997
550000 3580210 3877526 36989335 37662761
551000 3613917 3886726 37525329 39089175
552000 3652704 3934215 37871910 40093319
553000 3654823 3919657 37673718 39077816
554000 3662956 3916276 37633562 39278440
555000 3674448 3905380 37410672 39418883
556000 3617656 3893960 37333122 40022789
557000 3659443 3904949 38962279 39920327
558000 3672581 3925028 37364588 40464268
559000 3704192 3921313 38246844 39224259
560000 3705282 3922471 40515800 39546080
561000 3681401 3936854 38801863 40049538
562000 3689175 3962713 37547755 40574289
563000 3690805 3983953 37760617 39694883
564000 3736932 3955678 37939627 39761405
565000 3709178 3946319 38669404 39589153
566000 3850855 3971113 37796246 39498015
567000 3745462 3936632 37958338 37914218
568000 3726470 3976688 39352933 40062624
569000 3758411 4000506 38231944 40317170
570000 3780914 4000661 40489474 39941466
571000 3777237 4022660 40274894 40367749
572000 3774997 4005519 41303272 38026509
573000 3828305 4089079 40155657 39209035
574000 3800822 4047431 40445194 38040621
575000 3820770 4005722 40418708 38084725
576000 3820874 4053125 41047198 40909961
577000 3822876 4085926 40759717 40533353
578000 3819316 4053136 39121920 40839230
579000 3810290 4080602 39453045 40734049
580000 3867111 4103081 38794477 41624229
581000 3875996 4118892 39260982 41277726
582000 3866375 4116136 38987334 40918445
583000 3884403 4111572 38811304 41218775
584000 3890572 4121871 38672430 40664523
585000 3905469 4181478 39512720 41803709
586000 3896608 4185539 39429836 38800661
587000 3931713 4147905 39256012 38978005
588000 3934119 4196196 41157685 39461512
589000 3897290 4202945 41053385 41444692
590000 3956679 4158765 45499758 41063580
591000 3920938 4219834 54220076 52703520
592000 3969738 4195018 56956117 53015189
593000 3992487 4175674 53977356 53613362
594000 3963554 4187918 55402104 55125681
595000 3994213 4245782 53192160 55723504
596000 3990213 4223633 51846093 42179650
597000 3962228 4210377 42761458 41572799
598000 4017490 4229321 42781663 41876991
599000 4048404 4255374 42352145 41647460
600000 4054523 4281360 41943953 41496970
601000 4049652 4275758 41026263 42117212
602000 4070828 4327470 42383193 41655830
603000 4080075 4306519 43438387 42166581
604000 4053915 4302657 41640069 41910480
605000 4078468 4295974 42025409 42028982
606000 4056030 4241153 41731051 42425125
607000 4095835 4344636 41387537 42244297
608000 4056986 4265146 42209737 43873316
609000 4114718 4388798 42223990 43133249
610000 4084463 4394985 42409095 42554339
611000 4098172 4336929 42478644 42435781
612000 4084432 4341506 43052451 41814265
613000 4098809 4320610 42184855 42441349
614000 4142846 4369638 42933766 42401443
615000 4179898 4365765 42516309 42151491
616000 4172331 4355547 43999032 42113791
617000 4246227 4401075 42326061 42698544
618000 4167479 4399282 42558233 42769028
619000 4227802 4398690 42792428 42560866
620000 4198329 4463627 42383515 43359815
621000 4221475 4489331 42993834 42881787
622000 4189667 4424592 47164582 42780352
623000 4280944 4475204 43436164 43442292
624000 4217235 4462307 44281694 43901400
625000 4296635 4520763 43893224 44902156
626000 4304951 4488921 43342655 43273721
627000 4277585 4488129 43162549 43566191
628000 4292657 4467994 43990413 43184562
629000 4305086 4467918 44187891 43087106
630000 4297400 4483092 44455325 43126706
631000 4302316 4509940 44055929 44074581
632000 4294745 4554292 44189308 43920316
633000 4317771 4532369 43672999 43688310
634000 4317193 4539984 44262475 43326122
635000 4367899 4594114 45189879 43938502
636000 4383936 4597702 44006093 43279404
637000 4363683 4604031 44667128 43862456
638000 4367856 4564685 45254825 43522394
639000 4408753 4595680 43893443 43500008
640000 4384523 4532553 44557189 44238890
641000 4408505 4584937 45083941 44888674
642000 4403898 4542500 44528855 44595129
643000 4380448 4597554 44346245 43884858
644000 4424534 4596248 43913832 44026369
645000 4449912 4639818 44872018 44792775
646000 4418653 4649797 45519848 44616125
647000 4422934 4657191 45385039 45572628
648000 4466453 4635210 45740751 45075506
649000 4433509 4654376 44950877 44833722
650000 4513416 4688782 45951376 45320180
651000 4501976 4640442 45335622 45379356
652000 4526272 4675932 45483311 44880153
653000 4478855 4633789 45393781 45560267
654000 4465977 4696169 45207840 45129775
655000 4549750 4769294 45533996 45177177
656000 4492649 4659058 45676186 45708984
657000 4500432 4727600 45361412 45705858
658000 4523029 4804185 45157988 44762269
659000 4556471 4737986 45052120 45496362
660000 4538225 4730947 45724314 45454089
661000 4589127 4730187 45590437 46064701
662000 4515591 4795074 45077158 45173130
663000 4600275 4756615 46013119 45759420
664000 4592221 4802798 46615519 45277494
665000 4560589 4771770 45109512 45077923
666000 4620179 4818659 45806048 45802161
667000 4594118 4716335 45117176 45814465
668000 4592445 4766295 45162050 46836169
669000 4606953 4852234 45939496 46088142
670000 4623795 4807516 46021867 46261533
671000 4652793 4834826 46092375 46455363
672000 4677924 4826006 46906664 46456379
673000 4681195 4880577 45859213 45983479
674000 4694718 4850143 45855541 46012754
675000 4666733 4858532 46366712 46471809
676000 4662297 4795474 46991711 46968838
677000 4665317 4830856 50674888 46233634
678000 4751202 4931395 46819171 45812614
679000 4752585 4896719 46251615 46295348
680000 4700445 4900427 46857744 45672702
681000 4719915 4908004 46593743 46982532
682000 4708943 4923898 46598546 46553380
683000 4722287 4909218 46885767 46108845
684000 4802248 5063423 46898158 45894143
685000 4770439 5011855 46885136 48116229
686000 4761061 4982860 47071739 46748346
687000 4747116 4929297 46661017 47400659
688000 4813204 4979372 47412252 46590362
689000 4787505 4942391 47096396 47300816
690000 4833057 5022029 47201968 47197623
691000 4779110 4938420 47511046 47204182
692000 4862635 5053269 47417017 46968628
693000 4885612 5016347 47216051 48258463
694000 4837726 4942807 48024347 47388675
695000 4859042 5041696 48062507 47202750
696000 4845519 5071851 47119481 47005731
697000 4887863 5018884 47605258 47532818
698000 4862999 5085022 49093484 47644349
699000 4883399 5076625 48187551 47867934
700000 4900570 5091428 47839986 47982313
701000 4908687 5113441 47919046 47523896
702000 4909549 5008174 52345126 48512162
703000 4855491 5080155 48530461 48266003
704000 4943873 5121331 47946228 47251951
705000 4945252 5070942 48215990 48106021
706000 4945069 5069489 48565098 49172820
707000 4938616 5133195 48083035 47538371
708000 4929375 5096055 48735510 47555320
709000 5020191 5158563 48391943 47993102
710000 4994045 5152378 47979683 48670029
711000 5005444 5132644 49602885 48115088
712000 4994048 5128389 48992452 49457477
713000 5001108 5158510 48869084 48065006
714000 5030109 5207374 48448497 49706734
715000 4984769 5170035 50005069 48390396
716000 5055045 5168701 48637341 49038692
717000 5055085 5313385 48353857 48790804
718000 5043514 5264028 49576955 48838475
719000 5099780 5269861 50187068 49585252
720000 5076316 5279915 52694726 49423876
721000 5061039 5201688 48505368 50696082
722000 5088327 5238503 49662635 51192164
723000 5112239 5335759 50189948 51054161
724000 5096905 5251312 49493951 50910531
725000 5124556 5248313 49657779 50948154
726000 5154192 5267298 49406269 51115964
727000 5145036 5239133 50014782 50895471
728000 5094672 5303433 48693872 50747035
729000 5151999 5265108 52133615 51070853
730000 5104419 5320006 49337702 50573927
731000 5131206 5296308 50136101 49563205
732000 5130826 5291050 49793906 50277412
733000 5188673 5284869 50900760 49682612
734000 5204768 5343946 49938358 49729279
735000 5193373 5368452 51199712 50414582
736000 5167121 5296618 50290313 50286239
737000 5202921 5304580 50463568 51785378
738000 5186128 5303824 50853454 51276080
739000 5196999 5393582 50258022 50299029
740000 5192805 5407827 59234791 56701059
741000 5214120 5421513 60975884 52163389
742000 5285489 5349532 50687168 52220231
743000 5263481 5399533 50151884 50752196
744000 5205097 5394352 50351301 51659740
745000 5207634 5461716 51362560 52020130
746000 5233874 5413813 51199513 50784543
747000 5246569 5412994 51333179 52983690
748000 5313229 5400588 52164227 52569696
749000 5290728 5370698 51140171 52309841
750000 5296258 5455139 51653909 53317420
751000 5313372 5507364 51858125 52315283
752000 5326514 5475484 51591820 52956829
753000 5301887 5453932 51229698 52649580
754000 5297114 5489528 51768829 53318032
