Size IntIdx IntAppend PoloIdx PoloAppend
1650000 33591960 45855917 100946268 101074044
1660000 43037193 39572180 101976926 101639911
1670000 32073778 43634041 101734682 103929658
1680000 46066150 34069094 104830798 103678194
1690000 30938615 36228413 102274356 102247420
1700000 37854871 48210354 101977659 104125366
1710000 30407747 36597977 107289333 107640742
1720000 32554830 34681340 106887346 110033254
1730000 35518890 35584153 110301282 111372420
1740000 34721955 41800628 110547196 108315093
1750000 31116322 47368374 108618042 113509640
1760000 33774590 43518389 107850243 112170103
1770000 32542253 37591111 106575379 110514004
1780000 44278537 45248109 111410405 113894066
1790000 34291249 45098758 108757451 114848200
1800000 38662807 40522286 114619138 111075388
1810000 42962460 46451988 110875404 113645928
1820000 33929933 41194776 111539256 117471773
1830000 39892794 40878757 113044820 113729750
1840000 38711064 35181524 111620676 118652318
1850000 30602210 47784182 113307786 113891707
1860000 39928922 35154583 112515464 119609415
1870000 45355249 37805142 116988299 114817365
1880000 37169441 45314542 116782194 126629729
1890000 41181945 44835569 117505365 125696448
1900000 35166388 35550753 117766831 126423531
1910000 37457907 46667801 119845010 123264647
1920000 36222811 52080097 119351862 123754398
1930000 39162425 45513759 119499412 123173572
1940000 39182820 54360836 124159264 121162997
1950000 37419804 51472222 118080727 121091035
1960000 40376617 46544225 129945140 128640545
1970000 46649245 46253443 124577365 128098340
1980000 40633855 52761847 125114833 128632021
1990000 47269297 52622934 126494247 128964516
2000000 36566998 45271871 120977241 128737942
2010000 44829011 54124098 120822269 123598491
2020000 46404587 45973333 125569235 131152124
2030000 43467204 47308324 123732314 129114926
2040000 48055634 43549769 124666618 128060519
2050000 50484867 58786707 125043747 132843648
2060000 49787123 44049159 126736217 129200314
2070000 53498731 65006051 128232941 134008504
2080000 53968365 57294390 127996897 129726351
2090000 58666277 51061566 128799750 130209566
2100000 48125204 60649071 135776177 135230294
2110000 50072539 52477689 134289349 140657070
2120000 49634561 63056786 133023533 137215023
2130000 51256099 50274591 135476828 137504814
2140000 50535798 57836722 130643770 140272465
2150000 47926463 54213532 134747302 141978367
2160000 49621144 57262450 135272091 139984197
2170000 48525039 53663639 143205340 137813944
2180000 57024225 62891540 142613321 137991432
2190000 46281668 49973420 138317156 141855514
2200000 54055583 48596363 143424959 153118459
2210000 46057605 54356963 145092002 141340373
2220000 53824830 55813596 138630619 149113128
2230000 58240148 62672355 140510174 144871096
2240000 54801236 58769068 143866404 148441003
2250000 61386662 49507868 141979942 156171488
2260000 57557824 55752529 142105584 148945009
2270000 48276127 57363944 141563811 150784533
2280000 58655026 67224674 138311431 146458884
2290000 57156622 65686025 143641244 152889347
2300000 59464647 56145703 142848554 147751560
2310000 53983678 63064916 148285418 159543773
2320000 45977691 60547352 147495240 153566361
2330000 62287897 68766304 148322676 146842742
2340000 45756042 60641823 155870726 158182905
2350000 56518888 71456982 151916177 155653347
2360000 57933490 62012258 149150195 156060222
2370000 62361962 66841032 149325375 157886386
2380000 51037443 62745063 149640308 152361458
2390000 53331484 66217414 155985637 155423822
2400000 64095981 66032410 151278539 156497207
2410000 64660232 55010660 157399381 156164164
2420000 56169068 55929723 153184158 163569959
2430000 59769891 61393105 153787979 157827779
2440000 50134216 56959484 151267179 162647534
