Size Idx Append Polo PoloAppend
10000 32278 51088 525393 521821
20000 69516 107114 1280812 1275098
30000 105233 176534 1994504 1991282
40000 154664 241117 2550885 2570590
50000 183967 272716 3093952 3102661
60000 246470 364802 4081717 4086796
70000 274307 419821 4568902 4982242
80000 320610 481201 5166381 5162817
90000 390858 575216 5677765 5684417
100000 411510 615354 6281065 6326484
110000 507375 732599 7779611 7852457
120000 505285 760642 8115271 8216786
130000 571979 824490 8673261 8723396
140000 665436 938623 9240261 9343322
150000 721176 1001201 9959141 9997855
160000 789063 1096149 10509127 10489083
170000 805674 1144553 11022702 11021310
180000 854051 1224478 11596899 11466754
190000 1022841 1460179 12093390 12322311
200000 1085686 1433463 12760714 12742575
210000 1136322 1501356 13290788 13461865
220000 1202761 1641312 15570433 15793614
230000 1222215 1640074 15942841 16088769
240000 1270297 1726891 16312019 16670209
250000 1312643 1792673 17088160 17358610
260000 1398902 1871031 17581045 17730955
270000 1476540 1978645 17944885 18415529
280000 1540662 2044933 18469067 18627298
290000 1609612 2067901 19282335 19320147
300000 1636929 2106273 20137880 20211326
310000 1693670 2226064 20679834 20694766
320000 1769891 2301409 21193192 21157301
330000 1835351 2337459 21680984 22671848
340000 1886256 2385212 22260465 22358651
350000 1964578 2480841 24197237 22915415
360000 2038390 2540000 23485582 24106594
370000 2129499 2585207 23826254 24793512
380000 2194662 2675034 25901768 25271386
390000 2253934 2717669 25860339 25820203
400000 2354540 2780638 26489506 26122860
410000 2429522 2870860 26825606 27016712
420000 2509589 2947702 27584776 27780345
430000 2605960 3178938 31151050 32509859
440000 2635542 3099321 31543348 31844411
450000 2771178 3093587 32239047 33150161
460000 2846433 3222837 32035570 33476685
470000 2908479 3294555 32647611 33771779
480000 2982975 3360866 33346810 34283230
490000 3084071 3427621 33585161 34553944
500000 3171935 3498797 35334497 35627693
510000 3313921 3614945 35663086 35786069
520000 3380828 3741700 36356541 36741543
530000 3416573 3743257 36652658 38131580
540000 3562707 3857203 38340616 37942396
550000 3603389 3889224 36666494 38074951
560000 3758281 4010635 37125692 40460899
570000 3787418 4051971 39350754 40506119
580000 3858277 4086354 38359940 40629328
590000 3967283 4192697 41593405 41087613
600000 4068031 4262049 41355267 42009991
610000 4183888 4372166 42335585 42382456
620000 4225015 4509357 42793402 43764441
630000 4273730 4561161 43930437 43160549
640000 4422657 4621530 44350679 43869918
650000 4518253 4679127 44254429 44387237
660000 4578774 4823436 45000324 45176148
670000 4594095 4805797 44793602 45761982
680000 4750395 4928512 46570151 46489487
690000 4841854 5055595 46486440 47213382
700000 4911870 5082217 47107219 47937501
710000 4946827 5155946 47591103 48436616
720000 5096718 5222289 48138609 49539656
730000 5803247 5278017 49811895 48957435
740000 5240460 5365491 49481441 50315705
750000 5282390 5416357 49970514 51237496
760000 5398381 5520841 50392532 51157999
770000 5449371 5575029 51392243 52502976
780000 5543318 5743408 55200347 52010871
790000 5622469 5763834 51918256 55852155
800000 5655168 5900822 53171817 55849616
810000 5800048 5932585 55106959 59482844
820000 5850734 6078129 54365154 56797567
830000 5897797 6133238 54726631 58027163
840000 5994961 6149003 55890925 57216441
850000 6068711 6160306 56215429 58668699
860000 6176795 6368553 63703510 64171536
870000 6276233 6540723 63092878 64001260
880000 6322268 6480610 63129907 65930058
890000 6410700 6545564 63431836 64092623
900000 6456538 6707598 63517329 71127433
910000 6458656 6649764 65512364 66453545
920000 6590968 6779299 64712676 67422732
930000 6659582 6929251 66846007 68459524
940000 6807542 6977016 65828241 71995046
950000 6766990 6961945 66166010 72584343
960000 6807414 7118362 69338646 74169215
970000 7057033 7243863 68190356 73323956
980000 7097410 7211947 67055021 73363841
990000 7157974 7273257 70710260 70074626
1000000 7132203 7377065 69553469 75859879
1010000 7197358 7353520 68511008 75550019
1020000 7329059 7472917 70394536 77647216
1030000 7406890 7559000 69582047 75939117
1040000 7393385 7626599 71153289 69941864
1050000 7532757 7710084 70285826 77383106
1060000 7628123 7811797 78136838 72483832
1070000 7661905 7859828 77616969 79975725
1080000 7728679 8026745 77913918 78743621
1090000 7835240 8027510 78547856 82368766
1100000 7842004 8540232 81742832 74960838
1110000 7990833 8077688 79854451 75003309
1120000 7976618 8202152 81027297 82383129
1130000 8032432 8275748 81346857 81210181
1140000 8083700 8390954 81950347 83302400
1150000 8312195 8454792 76646533 81645812
1160000 8245310 8553286 83607925 82549860
1170000 8369530 8590580 84596552 84238389
1180000 8539237 8629102 84546950 86222990
1190000 8478579 8690329 84216227 86257892
1200000 8558718 8748066 86291255 87871108
1210000 8648149 8849768 84936721 86054691
1220000 8612099 8897422 100520866 86109298
1230000 8726506 9052189 86596741 87355702
1240000 8717363 9117680 87325114 88430166
1250000 8888266 9058065 90071005 87762895
1260000 8936497 9219413 89976185 88515103
1270000 8919601 9275396 89319731 90022753
1280000 9119538 9476320 87215307 94183096
1290000 9118092 9485450 87421378 93542856
1300000 9197711 9449248 100368032 92644803
1310000 9546879 9725131 92654707 94502098
1320000 9341532 9684618 92409298 93235121
1330000 9433349 9687667 92226075 93298387
1340000 9493461 9765521 94086168 94181580
1350000 9519108 9825414 95560883 93804533
1360000 9631126 9937238 96330501 96156249
1370000 9753489 10039919 95627564 103241649
1380000 9706292 10251614 94928776 98804253
1390000 9761832 10089466 97533390 98906307
1400000 9866506 10222293 98166291 98839189
1410000 9904099 10199555 99606158 99705442
1420000 10120819 10435877 96558816 100711986
1430000 10238062 10674120 97947657 108775062
1440000 10142930 10536373 99081588 99481065
1450000 10203678 10551735 102171702 100804392
1460000 10282706 10614443 99756090 100979166
1470000 10347127 10677416 104113704 101481577
1480000 10485467 10875912 101526244 102148580
1490000 10444372 10817570 104585013 105524470
1500000 10533809 10855730 107626474 112418936
1510000 10718143 10952934 106032988 116617521
1520000 10707969 10934857 103313278 118638752
1530000 10735484 11025524 107348126 117809126
1540000 10643486 12516878 107196284 122180655
1550000 10999954 11137439 106162394 115875286
1560000 10905663 11269459 106457335 119463942
1570000 11027467 11375751 107925469 111704085
1580000 11127316 11492616 108006901 112115156
1590000 11280502 11550533 116846809 121701221
1600000 11305538 11677420 113303767 114103526
1610000 11346408 11611625 113845507 111635444
1620000 11387512 11688085 110551610 113299437
1630000 11562107 11843836 112426940 114143785
1640000 11615807 11890562 111670856 114668884
